Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 09/24  03:00:00,0.539759598,3.68933263,0.00E+00,3.395967135,0.00E+00,9.35E-02,9.35E-02,9.35E-02,6.38E-02,1.39E-02,6.56E-02,0.285854385,0.273676499
 09/24  04:00:00,0.538653679,3.708748719,0.00E+00,3.361304426,0.00E+00,9.25E-02,9.25E-02,9.25E-02,6.38E-02,1.39E-02,7.62E-02,0.275056198,0.328499052
 09/24  05:00:00,0.588929184,3.933730421,0.00E+00,3.346276051,0.00E+00,9.21E-02,9.21E-02,9.21E-02,6.84E-02,1.49E-02,8.95E-02,0.30694061,0.566313003
 09/24  06:00:00,0.760704266,4.206010169,0.00E+00,3.169297485,0.00E+00,8.73E-02,8.73E-02,8.73E-02,0.127649462,2.78E-02,0.146230364,0.354639691,1.012285913
 09/24  07:00:00,1.026583258,4.552632113,0.00E+00,3.388754255,0.00E+00,9.33E-02,9.33E-02,9.33E-02,0.241622204,5.26E-02,0.230070928,0.376831242,1.137922584
 09/24  08:00:00,0.963822741,4.107910877,0.00E+00,2.974833617,0.00E+00,8.19E-02,8.19E-02,8.19E-02,0.200592047,4.37E-02,0.301918794,0.318589049,1.111133575
 09/24  09:00:00,0.85783256,3.646905283,0.00E+00,2.614389806,0.00E+00,7.20E-02,7.20E-02,7.20E-02,0.100296024,2.19E-02,0.375444793,0.271145043,1.013839626
 09/24  10:00:00,0.855256432,3.419314066,0.00E+00,2.503835758,0.00E+00,6.89E-02,6.89E-02,6.89E-02,7.75E-02,1.69E-02,0.39729662,0.277521925,0.896363232
 09/24  11:00:00,0.844427878,2.342475288,0.00E+00,1.533333144,0.00E+00,4.22E-02,4.22E-02,4.22E-02,7.75E-02,1.69E-02,0.413104166,0.27760695,0.790021212
 09/24  12:00:00,0.811814891,1.801912057,0.00E+00,1.073834624,0.00E+00,2.96E-02,2.96E-02,2.96E-02,7.75E-02,1.69E-02,0.397819063,0.27293057,0.709278599
 09/24  13:00:00,0.776709835,1.413852472,0.00E+00,0.734764137,0.00E+00,2.02E-02,2.02E-02,2.02E-02,7.75E-02,1.69E-02,0.362611946,0.282368356,0.659639448
 09/24  14:00:00,0.753676147,1.016637143,0.00E+00,0.383316086,0.00E+00,1.06E-02,1.06E-02,1.06E-02,7.75E-02,1.69E-02,0.333355083,0.29826805,0.612777035
 09/24  15:00:00,0.771890187,0.911059119,0.00E+00,0.27087418,0.00E+00,7.46E-03,7.46E-03,7.46E-03,7.75E-02,1.69E-02,0.338085124,0.314847944,0.618498933
 09/24  16:00:00,0.882539483,1.032502889,0.00E+00,0.326547393,0.00E+00,8.99E-03,8.99E-03,8.99E-03,8.66E-02,1.89E-02,0.378535167,0.372409937,0.680304751
 09/24  17:00:00,1.095833884,1.43535413,0.00E+00,0.600819546,0.00E+00,1.65E-02,1.65E-02,1.65E-02,0.127649462,2.78E-02,0.454299752,0.452418555,0.803373029
 09/24  18:00:00,1.254427326,1.358785817,0.00E+00,0.400155244,0.00E+00,1.10E-02,1.10E-02,1.10E-02,0.237063298,5.17E-02,0.416394348,0.491190001,0.924798529
 09/24  19:00:00,1.407957716,1.254845208,0.00E+00,0.269008503,0.00E+00,7.41E-03,7.41E-03,7.41E-03,0.433096355,9.44E-02,0.348977329,0.507004669,0.950915382
 09/24  20:00:00,1.651099413,1.083810715,0.00E+00,0.16272917,0.00E+00,4.48E-03,4.48E-03,4.48E-03,0.647365121,0.141044366,0.316662629,0.524434815,0.884959674
 09/24  21:00:00,1.568803478,0.978099102,0.00E+00,0.145667635,0.00E+00,4.01E-03,4.01E-03,4.01E-03,0.601776058,0.131111652,0.302601845,0.512191201,0.797152908
 09/24  22:00:00,1.2689144,1.207830628,0.00E+00,0.513415805,0.00E+00,1.41E-02,1.41E-02,1.41E-02,0.451331981,9.83E-02,0.244764799,0.443235845,0.663885752
 09/24  23:00:00,0.971581425,1.403472436,0.00E+00,0.861547951,0.00E+00,2.37E-02,2.37E-02,2.37E-02,0.31456479,6.85E-02,0.16248404,0.385163702,0.515395289
 09/24  24:00:00,0.670386176,1.682192626,0.00E+00,1.302751793,0.00E+00,3.59E-02,3.59E-02,3.59E-02,0.159561806,3.48E-02,0.104489819,0.318589049,0.357497148
 09/25  01:00:00,0.555058709,1.919974197,0.00E+00,1.61701964,0.00E+00,4.45E-02,4.45E-02,4.45E-02,9.57E-02,2.09E-02,8.35E-02,0.293336594,0.282750203
 09/25  02:00:00,0.509510222,2.211710463,0.00E+00,1.926667393,0.00E+00,5.30E-02,5.30E-02,5.30E-02,6.38E-02,1.39E-02,7.17E-02,0.28993559,0.26507297
 09/25  03:00:00,0.502811922,2.393169376,0.00E+00,2.103630565,0.00E+00,5.79E-02,5.79E-02,5.79E-02,6.38E-02,1.39E-02,6.42E-02,0.285854385,0.269849814
 09/25  04:00:00,0.505358346,2.587426229,0.00E+00,2.249044274,0.00E+00,6.19E-02,6.19E-02,6.19E-02,6.38E-02,1.39E-02,7.35E-02,0.275056198,0.319436713
 09/25  05:00:00,0.556824376,2.888603388,0.00E+00,2.329030464,0.00E+00,6.41E-02,6.41E-02,6.41E-02,6.84E-02,1.49E-02,8.54E-02,0.30694061,0.538431557
 09/25  06:00:00,0.723379628,3.171064651,0.00E+00,2.199594189,0.00E+00,6.06E-02,6.06E-02,6.06E-02,0.127649462,2.78E-02,0.135604843,0.354639691,0.947043691
 09/25  07:00:00,0.967353008,3.090559743,0.00E+00,2.006105148,0.00E+00,5.52E-02,5.52E-02,5.52E-02,0.241622204,5.26E-02,0.208909549,0.376831242,1.05849932
 09/25  08:00:00,0.906856209,3.134314941,0.00E+00,2.083940815,0.00E+00,5.74E-02,5.74E-02,5.74E-02,0.200592047,4.37E-02,0.269481467,0.318589049,1.028430441
 09/25  09:00:00,0.797664644,3.021065573,0.00E+00,2.064625322,0.00E+00,5.68E-02,5.68E-02,5.68E-02,0.100296024,2.19E-02,0.330413698,0.271145043,0.9377644
